state,cd,geo_id,fips,collision_count,colliding_seqs,max_seq,free_slots_remaining,safe_start_seq
KY,1,2101,21,98,1-98,98,1,200
OR,1,4101,41,4,10-13,13,95,14
OK,1,4001,40,43,1-43,43,56,200
KS,1,2001,20,2,1-2,2,97,3
KS,2,2002,20,9,1-9,9,90,10
NV,1,3201,32,1,73,73,98,74
NV,2,3202,32,1,50,50,98,51
NV,4,3204,32,2,"46,78",78,97,79
NM,1,3501,35,1,25,25,98,26
NM,2,3502,35,1,50,50,98,51
NM,3,3503,35,1,81,81,98,82
NE,3,3103,31,1,59,59,98,60
ME,1,2301,23,2,1-2,2,97,3
ME,2,2302,23,2,1-2,2,97,3
NH,1,3301,33,5,28-32,32,94,33
MT,2,3002,30,1,84,84,98,85
AK,0,0200,2,4,1-4,4,95,5
DE,0,1000,10,26,"1,2,3,4,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47",47,73,48
VT,0,5000,50,5,1-5,5,94,6
