politician_id,full_name,topic_key,verdict,on_axis,off_axis,non_operative,best_role,best_bill,best_introduced,best_title
00abc782-e86b-40f2-be0d-f07fad802688,Ron Johnson,border-security,settleable,1,4,1,cosponsor,S. 2824,2023-09-14,Secure the Border Act of 2023
023c6644-356e-4afb-925b-e20f9c32209b,Jim Banks,border-security,settleable,1,3,1,cosponsor,S. 5371,2026-08-07,Stopping Border Surges Act
059dab9f-a79a-4664-b4cf-26b0655c596f,Tammy Duckworth,border-security,off-axis-only,0,4,2,,,,
0942f325-1180-4e1a-b1df-06438f1792a3,Tom Cotton,border-security,settleable,4,5,1,sponsor,S. 3488,2025-12-16,Asylum Reform and Loophole Closure Act
0ba1cecc-8493-495b-8d58-34d50bbacfba,Katie Britt,border-security,settleable,4,4,1,sponsor,S. 348,2023-02-09,Asylum Abuse Reduction Act
0dd5daa6-87cf-43a7-a1ee-25349ae35e27,Bill Hagerty,border-security,settleable,2,5,0,cosponsor,S. 2905,2023-09-21,No Asylum for CCP Spies Act
0eabc969-c1a1-47b7-8d34-6113b723a170,Jeff Merkley,border-security,off-axis-only,0,4,0,,,,
0f06ced9-84c7-4020-98fd-82ac25d49027,Patty Murray,border-security,off-axis-only,0,7,1,,,,
0fd03798-714d-4976-a9b6-448aa22d8a68,Ruben Gallego,border-security,off-axis-only,0,5,2,,,,
100de02f-b44d-4587-9b90-19aa5081708c,Brian Schatz,border-security,off-axis-only,0,2,0,,,,
102b239c-0a3d-44b9-ae32-88d8179197e2,Todd Young,border-security,settleable,1,3,1,cosponsor,S. 2824,2023-09-14,Secure the Border Act of 2023
108e7bcc-554a-49d7-81f0-c3058f933a07,Josh Hawley,border-security,settleable,2,6,0,cosponsor,S. 2905,2023-09-21,No Asylum for CCP Spies Act
129c2764-370c-4385-ad64-4cb5744c3541,Rick Scott,border-security,settleable,3,11,3,sponsor,S. 4771,2026-06-11,Protecting Asylum Integrity Act
130591ca-bfd1-4691-916b-3570341b04fb,Joni Ernst,border-security,settleable,1,4,0,cosponsor,S. 685,2023-03-07,Stopping Border Surges Act
17f7729f-22a2-4346-9434-e5f545cfe8b4,Angela Alsobrooks,border-security,non-operative-only,0,0,1,,,,
1d877e4d-8aaf-4db8-be5b-2a3de0a98783,Jeanne Shaheen,border-security,off-axis-only,0,2,0,,,,
20aa1064-bbe7-484c-b779-28d99e92e608,Lindsey Graham,border-security,no-lead,0,0,0,,,,
2147281e-e1b1-4416-a5d9-dae9d4f31be0,Ron Wyden,border-security,off-axis-only,0,1,2,,,,
2249e92f-8064-4c9e-b109-d56c0c5bb1b8,Bernie Moreno,border-security,settleable,1,1,0,cosponsor,S. 112,2025-01-21,Make the Migrant Protection Protocols Mandatory Act of 2025
24109768-01ad-4bab-b833-b7bc1d8f437d,Steve Daines,border-security,settleable,4,8,1,cosponsor,S. 112,2025-01-16,Make the Migrant Protection Protocols Mandatory Act of 2025
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,border-security,off-axis-only,0,12,3,,,,
274c286d-a292-4e3f-b570-6c2d7ae9c209,Eric Schmitt,border-security,settleable,1,1,1,cosponsor,S. 2824,2023-09-14,Secure the Border Act of 2023
27d57833-842f-427c-bedd-aa1695fe550f,Ben Ray Luján,border-security,off-axis-only,0,6,1,,,,
2971d4f9-1433-4dcd-aaa7-193241ef3c95,Mike Crapo,border-security,settleable,2,6,2,cosponsor,S. 112,2025-01-16,Make the Migrant Protection Protocols Mandatory Act of 2025
2a6693c7-9149-4e71-85fe-003746f7d23d,John Hickenlooper,border-security,no-lead,0,0,0,,,,
2b022ce1-6272-40db-9332-015a057ec9f8,John Cornyn,border-security,settleable,1,14,3,cosponsor,S. 2824,2023-09-18,Secure the Border Act of 2023
2b8d4b89-2d7c-4b67-a5a1-72bd7c766e1e,James Lankford,border-security,off-axis-only,0,16,2,,,,
2c3372a7-dadc-4622-944c-1783abe57b56,Richard Durbin,border-security,off-axis-only,0,4,0,,,,
2f52b4b6-f167-4452-be9b-d37a5b667e69,Jerry Moran,border-security,settleable,3,2,0,cosponsor,S. 112,2025-01-16,Make the Migrant Protection Protocols Mandatory Act of 2025
3149d855-8d85-4080-b0d6-fb83be500533,Deb Fischer,border-security,settleable,2,2,1,cosponsor,S. 2905,2023-09-27,No Asylum for CCP Spies Act
3621bbef-a821-45fe-991c-e1744ad05203,John Boozman,border-security,settleable,1,4,1,cosponsor,S. 348,2023-02-09,Asylum Abuse Reduction Act
3bb72269-7f3b-42a5-bf48-4e1963844391,Tim Sheehy,border-security,settleable,1,1,0,cosponsor,S. 112,2025-01-16,Make the Migrant Protection Protocols Mandatory Act of 2025
3cc5cece-cec0-4490-8faa-37a6b66231c7,Bernie Sanders,border-security,off-axis-only,0,6,0,,,,
