state,jurisdiction,chamber,office,full_name,party,stances,already_searched,seat_link,jurisdiction_from,official_urls,politician_id
,United States Federal Government,U.S. House of Representatives,Representative,Burgess Owens,,23,,current term,government,,cb87ddbb-5a83-45b7-b67a-789e63f0e58b
MA,"City of Fall River, Massachusetts, US",City Council,City Councilor,Andrew Raposo,,1,,current term,government,,00a6e310-45cc-49ab-a339-fe5bd791319d
MA,"City of Fall River, Massachusetts, US",City Council,City Councilor,Linda Pereira,,1,,current term,government,,23905e23-47f2-40b1-b514-93e9ef4e837f
MA,"City of Fall River, Massachusetts, US",City Council,Mayor,Paul Coogan,,4,,current term,government,,c62e5d6a-0115-4f2d-9084-b0c3980e6db4
MA,"City of Fall River, Massachusetts, US",City Council,City Councilor,Paul Hart,,1,,current term,government,,9f4b41dd-e90b-4aa0-b38b-f92cc8fa3de6
MA,"City of Medford, Massachusetts, US",City Council,City Councilor,Liz Mullane,,6,,current term,government,,5846208f-d354-4e01-aa0c-4328574357f1
MA,"City of New Bedford, Massachusetts, US",City Council,City Councilor (Ward 4),Derek Baptiste,,1,,current term,government,,93d505e0-01b6-412c-9e07-4c491bdab866
MA,"City of New Bedford, Massachusetts, US",City Council,City Councilor (Ward 5),Joseph Lopes,,2,,current term,government,,122c551d-7d99-496c-b3ce-62a5117bc0ab
MA,"City of New Bedford, Massachusetts, US",City Council,City Councilor (Ward 1),Leo Choquette,,1,,current term,government,,262fe14b-da7b-4a27-9aa1-1fe0a5e5b9ee
MA,"City of New Bedford, Massachusetts, US",City Council,City Councilor (Ward 6),Ryan Pereira,,1,,current term,government,,cab27094-b806-4ba5-a00e-6ec10230c61f
MA,"City of New Bedford, Massachusetts, US",City Council,City Councilor,Shane Burgo,,1,,current term,government,,4b0e72f4-15f8-495a-b90a-e5b8b987cd63
MA,"City of New Bedford, Massachusetts, US",City Council,City Councilor (Ward 3),Shawn Oliver,,1,,current term,government,,206795e1-0a66-4f8c-b526-b9200639ff15
MA,"City of Newton, Massachusetts, US",City Council,City Councilor,Allison Leary,,1,,current term,government,,bc313a82-8b30-4ca7-acdb-47d2cc6906e3
MA,"City of Newton, Massachusetts, US",City Council,City Councilor,David Kalis,,1,,current term,government,,cbc9201b-a23c-44ff-af75-5174d4531762
MA,"City of Newton, Massachusetts, US",City Council,City Councilor,Jacob Silber,,1,,current term,government,,ec923a42-9b27-4f8a-a839-69d6e45c2cf8
MA,"City of Newton, Massachusetts, US",City Council,City Councilor,John Oliver,,1,,current term,government,,c6a65ddf-9c48-4683-9100-28ce1c9f7983
MA,"City of Newton, Massachusetts, US",City Council,City Councilor,Josh Krintzman,,1,,current term,government,,67e5e2f0-f5dc-430b-9d7f-8a10e9a5e6a2
MA,"City of Newton, Massachusetts, US",City Council,City Councilor (Ward 3),Julia Malakie,,1,,current term,government,,a00a26a4-f0f1-4a12-945a-d52498de8a3f
MA,"City of Newton, Massachusetts, US",City Council,Mayor,Marc C. Laredo,,2,,current term,government,,9c64b145-cce4-4b31-a4e0-c041a12af62b
MA,"City of Newton, Massachusetts, US",City Council,City Councilor,Pamela Wright,,2,,current term,government,,8a35fe01-8450-4726-a9b3-b61b7a967475
MA,"City of Newton, Massachusetts, US",City Council,City Councilor (Ward 7),R. Lisle Baker,,1,,current term,government,,9d34705c-0a66-4c08-8936-7e63629ce435
MA,"City of Newton, Massachusetts, US",City Council,City Councilor,Sean Roche,,2,,current term,government,,e9abe848-ca92-4197-924d-294e7ed92100
