cd,geo_id,race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
1,1301,6b16cb6a-159f-48b1-a1ed-eb2de73f2e84,"Jim Kingston",Republican,NEW,,-130101,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
1,1301,6b16cb6a-159f-48b1-a1ed-eb2de73f2e84,"Amanda Hollowell",Democratic,NEW,,-130102,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
2,1302,4a924d50-196e-456a-bd98-bb708d712c41,"Sanford D. Bishop, Jr.",incumbent,REUSE,a172a95a-b866-4ece-a7e2-47487c5ec471,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
2,1302,4a924d50-196e-456a-bd98-bb708d712c41,"Matt Day",Republican,NEW,,-130201,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
3,1303,e8808d20-f9ea-483e-a605-c423a5a11b4d,"Brian Jack",incumbent,REUSE,eabb384b-b541-4232-978a-fbb7fcad9290,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
3,1303,e8808d20-f9ea-483e-a605-c423a5a11b4d,"Maura Keller",Democratic,NEW,,-130301,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
4,1304,fdb1e1b0-847b-430a-a0ab-47d69a30eb66,"Henry C. "Hank" Johnson, Jr.",incumbent,REUSE,135f4a8f-6e03-453f-a5b2-9a3b338f26c3,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
4,1304,fdb1e1b0-847b-430a-a0ab-47d69a30eb66,"James Duffe",Republican,NEW,,-130401,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
5,1305,4688afb8-4f46-4849-8255-ff96d174d7ba,"Nikema Williams",incumbent,REUSE,acb046eb-1db6-44bf-a50b-32d16df15057,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
5,1305,4688afb8-4f46-4849-8255-ff96d174d7ba,"John Salvesen",Republican,NEW,,-130501,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia"
