cd,geo_id,race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
1,4201,e58302b2-f366-4721-82a5-c722165da604,Brian K. Fitzpatrick,(incumbent),REUSE,a5d68f92-d5e2-4fa1-a191-a64e8ebb2ada,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_1
1,4201,e58302b2-f366-4721-82a5-c722165da604,Bob Harvie,(challenger),NEW,,-420101,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_1
2,4202,54e81562-7c92-4a69-acca-ecc3978460b6,Brendan F. Boyle,(incumbent),REUSE,6d11b72d-fb42-49ca-b44f-89ef02defbb7,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_2
2,4202,54e81562-7c92-4a69-acca-ecc3978460b6,Jessica Arriaga,(challenger),NEW,,-420201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_2
3,4203,a287fef6-1971-4fb3-b7e2-6b6de98840c9,Chris Rabb,(challenger),NEW,,-420301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_3
4,4204,c8212399-3939-4c7d-9e98-e0a50ba18f61,Madeleine Dean,(incumbent),REUSE,bf942e86-fe8c-496f-9a36-212e9f9403e3,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_4
4,4204,c8212399-3939-4c7d-9e98-e0a50ba18f61,Aurora Stuski,(challenger),NEW,,-420401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_4
5,4205,40c89e2a-10a4-466d-bc5e-467cd5a0e872,Mary Gay Scanlon,(incumbent),REUSE,ba906956-7359-4b26-8f1b-0d8f8d60b9fc,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_5
5,4205,40c89e2a-10a4-466d-bc5e-467cd5a0e872,Nicholas Manganaro,(challenger),NEW,,-420501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_5
6,4206,d5b6b18d-fb62-449a-9e88-05f79c2136b9,Chrissy Houlahan,(incumbent),REUSE,abf87328-e0fa-4ebd-89e6-6f1631e5a5c2,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_6
6,4206,d5b6b18d-fb62-449a-9e88-05f79c2136b9,Marty Young,(challenger),NEW,,-420601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_6
7,4207,05d85109-d170-4c51-b3a8-b1d443ae148b,Ryan Mackenzie,(incumbent),REUSE,38f9fb6c-b2de-4a79-a9fa-82f400a6a6f2,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_7
7,4207,05d85109-d170-4c51-b3a8-b1d443ae148b,Bob Brooks,(challenger),NEW,,-420701,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_7
8,4208,e50986de-5238-4289-b629-e9f790aca537,Robert P. Bresnahan, Jr.,(incumbent),REUSE,ac16b65b-c438-40e4-b192-1a01418c2225,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_8
8,4208,e50986de-5238-4289-b629-e9f790aca537,Paige Cognetti,(challenger),NEW,,-420801,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_8
9,4209,237f60e5-e00a-465b-8556-00f82d95e722,Daniel Meuser,(incumbent),REUSE,345511a8-3f1a-40a7-96a6-b87d6ec011b1,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_9
9,4209,237f60e5-e00a-465b-8556-00f82d95e722,Rachel Wallace,(challenger),NEW,,-420901,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_9
10,4210,6cd9bb32-ee8b-45c7-b319-0a4abe9fcbe8,Scott Perry,(incumbent),REUSE,7412719e-e468-4ce7-85fb-26516ca7610f,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_10
10,4210,6cd9bb32-ee8b-45c7-b319-0a4abe9fcbe8,Janelle Stelson,(challenger),NEW,,-421001,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_10
11,4211,6bbfcea8-1983-4729-905a-2673c5f32650,Lloyd Smucker,(incumbent),REUSE,a4f800f0-6634-47c6-a340-ca494544d9b5,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_11
11,4211,6bbfcea8-1983-4729-905a-2673c5f32650,Nancy Mannion,(challenger),NEW,,-421101,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_11
12,4212,91cc8aea-08c2-4066-aa49-96b85b6ff307,Summer L. Lee,(incumbent),REUSE,117883ff-7a9a-42cb-b42b-82223f1d618d,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_12
12,4212,91cc8aea-08c2-4066-aa49-96b85b6ff307,James Hayes,(challenger),NEW,,-421201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_12
13,4213,aa9b7309-f89e-48ea-ab81-41a2575c2692,John Joyce,(incumbent),REUSE,7a858437-ac72-45bf-a2b7-3cc130ca6584,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_13
13,4213,aa9b7309-f89e-48ea-ab81-41a2575c2692,Beth Farnham,(challenger),NEW,,-421301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_13
14,4214,961cb419-8666-4c70-9161-1d7c3f0b01f0,Guy Reschenthaler,(incumbent),REUSE,6840c7e6-2169-43a4-8490-1e73c8704cbd,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_14
14,4214,961cb419-8666-4c70-9161-1d7c3f0b01f0,David Alan Bradstock,(challenger),NEW,,-421401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_14
15,4215,7fa6fcae-daa1-4a36-a717-66896ef18ca6,Glenn Thompson,(incumbent),REUSE,6cf68d79-f822-47c4-b702-1f14f20270e4,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_15
15,4215,7fa6fcae-daa1-4a36-a717-66896ef18ca6,Ray Bilger,(challenger),NEW,,-421501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_15
16,4216,9028e51d-9f0a-4bd2-a020-80c4e2b336ae,Mike Kelly,(incumbent),REUSE,4c34d7a5-ceea-493f-a6a4-cb5d14763593,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_16
16,4216,9028e51d-9f0a-4bd2-a020-80c4e2b336ae,Justin Wagner,(challenger),NEW,,-421601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Pennsylvania#District_16
