cd,geo_id,race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
1,4801,a282204e-d645-4496-9ecc-c1d7a5e1a842,Nathaniel Moran,Republican,REUSE,,-100301,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_1
1,4801,a282204e-d645-4496-9ecc-c1d7a5e1a842,Yolanda Prince,Democratic,NEW,,-4810101,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_1
2,4802,52aba312-6c76-4591-a27c-c569da854ab5,Steve Toth,Republican,REUSE,,-100515,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_2
2,4802,52aba312-6c76-4591-a27c-c569da854ab5,Shaun Finnie,Democratic,NEW,,-4810201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_2
3,4803,516d9125-674f-472e-8f41-dcbca7d74d16,Keith Self,Republican,REUSE,,-100303,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_3
3,4803,516d9125-674f-472e-8f41-dcbca7d74d16,Evan Hunt,Democratic,NEW,,-4810301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_3
4,4804,dd49e721-3905-409d-92e5-18505beacf39,Pat Fallon,Republican,REUSE,,-100304,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_4
4,4804,dd49e721-3905-409d-92e5-18505beacf39,Jason Pearce,Democratic,NEW,,-4810401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_4
5,4805,c09ed536-07e5-4dca-a77d-e3b636a724c4,Lance Gooden,Republican,REUSE,,-100305,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_5
5,4805,c09ed536-07e5-4dca-a77d-e3b636a724c4,Chelsey Hockett,Democratic,NEW,,-4810501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_5
6,4806,1ae3afe8-a646-4dcd-8c4c-304b8446ae8f,Jake Ellzey,Republican,REUSE,,-100306,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_6
6,4806,1ae3afe8-a646-4dcd-8c4c-304b8446ae8f,Danny Minton,Democratic,NEW,,-4810601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_6
7,4807,4547a4e0-bed6-4be0-a866-0f6b56259cfc,Lizzie Fletcher,Democratic,REUSE,,-100307,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_7
7,4807,4547a4e0-bed6-4be0-a866-0f6b56259cfc,Alexander Hale,Republican,NEW,,-4810701,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_7
8,4808,857ff454-abb5-4a03-873b-4f0ada1e5477,Jessica Steinmann,Republican,NEW,,-4810801,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_8
8,4808,857ff454-abb5-4a03-873b-4f0ada1e5477,Laura Jones,Democratic,NEW,,-4810802,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_8
9,4809,95e43ee0-6b5f-4374-86b0-2bfc9c1e7476,Leticia Gutierrez,Democratic,NEW,,-4810901,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_9
9,4809,95e43ee0-6b5f-4374-86b0-2bfc9c1e7476,Alex Mealer,Republican,NEW,,-4810902,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_9
10,4810,350d53d9-2b4f-46e6-8aea-0e4d011f704d,Chris Gober,Republican,NEW,,-4811001,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_10
10,4810,350d53d9-2b4f-46e6-8aea-0e4d011f704d,Caitlin Rourk,Democratic,NEW,,-4811002,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_10
