filer_id,candidate_name,committee_name,jurisdiction,last_filing_year,race_code,district_code,suggested_action,notes
1059890,"PROTECT PROP. 13, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION","PROTECT PROP. 13, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",LOS ANGELES,2025,0,0,create new politician (name needs research),
1378568,STEVEN SCHULTZ,STEVEN SCHULTZ,LOS ANGELES,2025,,,create new politician,
1340487,GEORGE MATTHEWS,GEORGE MATTHEWS,LOS ANGELES,2024,,,create new politician,
1374044,LOS ANGELES NEIGHBORHOOD LAND TRUST,LOS ANGELES NEIGHBORHOOD LAND TRUST,LOS ANGELES,2025,,,create new politician (name needs research),
1449780,EDWARD ROZELL,EDWARD ROZELL,LOS ANGELES,2025,,,create new politician,
1415321,CLEAN POWER ALLIANCE,CLEAN POWER ALLIANCE,LOS ANGELES,2025,,,create new politician (name needs research),
1457094,GASCON FOR LA DISTRICT ATTORNEY 2024; GEORGE,GASCON FOR LA DISTRICT ATTORNEY 2024; GEORGE,LOS ANGELES,2025,0,0,create new politician (name needs research),
1444207,"CALIFORNIANS FOR COMMUNITY SAFETY, EQUALITY AND REINVESTMENT, SPONSORED BY TRIBAL ORGANIZATIONS","CALIFORNIANS FOR COMMUNITY SAFETY, EQUALITY AND REINVESTMENT, SPONSORED BY TRIBAL ORGANIZATIONS",LOS ANGELES,2024,0,0,create new politician (name needs research),
1458683,HOLDEN OFFICEHOLDER ACCOUNT 2022; ASSEMBLY MEMBER CHRIS,HOLDEN OFFICEHOLDER ACCOUNT 2022; ASSEMBLY MEMBER CHRIS,LOS ANGELES,2025,0,0,create new politician (name needs research),
1456494,"CITIZENS FOR A RESPONSIBLE ANAHEIM, SPONSORED BY UNITE HERE LOCAL 11","CITIZENS FOR A RESPONSIBLE ANAHEIM, SPONSORED BY UNITE HERE LOCAL 11",LOS ANGELES,2024,0,0,create new politician (name needs research),
1466922,CHU FOR CITY COUNCIL 2024; LIFT UP SAN JOSE! GOLDEN STATE LEADERSHIP FUND PAC SUPPORTS KANSEN,CHU FOR CITY COUNCIL 2024; LIFT UP SAN JOSE! GOLDEN STATE LEADERSHIP FUND PAC SUPPORTS KANSEN,LOS ANGELES,2024,0,0,create new politician (name needs research),
1471561,UNIVERSAL COMMUNITY HEALTH CENTER,UNIVERSAL COMMUNITY HEALTH CENTER,LOS ANGELES,2024,0,0,create new politician (name needs research),
1467281,JAMES GIL,JAMES GIL,LOS ANGELES,2024,0,0,create new politician,
1467297,RINA TAMBOR,RINA TAMBOR,LOS ANGELES,2024,0,0,create new politician,
1473086,PATRICIA SOLORIO,PATRICIA SOLORIO,LOS ANGELES,2024,0,0,create new politician,
1469289,LICENSED ADULT RESIDENTIAL CARE ASSOCIATION (LARCA),LICENSED ADULT RESIDENTIAL CARE ASSOCIATION (LARCA),LOS ANGELES,2024,0,0,create new politician (name needs research),
1463510,YES ON A: COMMUNITY EXPERTS UNITED FOR HOMELESSNESS AND HOUSING SOLUTIONS A COALITION OF NONPROFIT ORGANIZATIONS AND HOUSING ADVOCATES,YES ON A: COMMUNITY EXPERTS UNITED FOR HOMELESSNESS AND HOUSING SOLUTIONS A COALITION OF NONPROFIT ORGANIZATIONS AND HOUSING ADVOCATES,LOS ANGELES,2024,0,0,create new politician (name needs research),
1467056,FRANCIS ENGLER,FRANCIS ENGLER,LOS ANGELES,2024,0,0,create new politician,
1467159,CARMENLINA MINASOVA,CARMENLINA MINASOVA,LOS ANGELES,2024,0,0,create new politician,
1465843,CRAIG LALLY,CRAIG LALLY,LOS ANGELES,2024,0,0,create new politician,
1464358,CASCIO FOR ASSEMBLY 2024,CASCIO FOR ASSEMBLY 2024,LOS ANGELES,2025,0,0,create new politician (name needs research),
1468789,JEFF SHAFFER,JEFF SHAFFER,LOS ANGELES,2024,0,0,create new politician,
1474538,DEBORAH PEPO,DEBORAH PEPO,LOS ANGELES,2024,0,0,create new politician,
1475181,"WEXMAN, TODD","WEXMAN, TODD",LOS ANGELES,2024,0,0,create new politician (name needs research),
1475415,KATY YAROSLAVKSY,KATY YAROSLAVKSY,LOS ANGELES,2024,0,0,create new politician,
1476547,MC KINNOR FOR ASSEMBLY 2026; TINA,MC KINNOR FOR ASSEMBLY 2026; TINA,LOS ANGELES,2025,0,0,create new politician (name needs research),
1476063,"VERA, DENICE RENTERIA AND JEANNINE WISNOSKY STEHLIN FOR CITY COUNCIL 2024, SPONSORED BY BIZFED PAC, A PROJECT OF LOS ANGELES COUNTY BUSINESS FEDERATION; CULVER CITY FIRENDS AND NEIGHBORS SUPPORTING AL","VERA, DENICE RENTERIA AND JEANNINE WISNOSKY STEHLIN FOR CITY COUNCIL 2024, SPONSORED BY BIZFED PAC, A PROJECT OF LOS ANGELES COUNTY BUSINESS FEDERATION; CULVER CITY FIRENDS AND NEIGHBORS SUPPORTING AL",LOS ANGELES,2024,0,0,create new politician (name needs research),
1477870,ADA BRICENO,ADA BRICENO,LOS ANGELES,2025,0,0,create new politician,
1476509,STEPHANIE GRANATO,STEPHANIE GRANATO,LOS ANGELES,2024,0,0,create new politician,
1477868,ADA BRICENO,ADA BRICENO,LOS ANGELES,2025,0,0,create new politician,
1477918,JEFF GIORDANO,JEFF GIORDANO,LOS ANGELES,2025,0,0,create new politician,
1476158,ROXAN RIVAS,ROXAN RIVAS,LOS ANGELES,2024,0,0,create new politician,
1147764,MARATHON COMMUNICATIONS,MARATHON COMMUNICATIONS,LOS ANGELES,2024,,,create new politician (name needs research),
1479465,MICHAEL DREIBELBIS,MICHAEL DREIBELBIS,LOS ANGELES,2025,0,0,create new politician,
1478601,MICHELLE A. JOHNSTON,MICHELLE A. JOHNSTON,LOS ANGELES,2025,0,0,create new politician,
1474072,DIGITAL IDENTITY RIGHTS PAC CALIFORNIA; THE,DIGITAL IDENTITY RIGHTS PAC CALIFORNIA; THE,LOS ANGELES,2024,0,0,create new politician (name needs research),
1481990,EDDIE HA,EDDIE HA,LOS ANGELES,2025,0,0,create new politician,
1482662,ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE ACTION),ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE ACTION),LOS ANGELES,2025,0,0,create new politician (name needs research),
1482979,DAVID WERLIN,DAVID WERLIN,LOS ANGELES,2025,0,0,create new politician,
1484554,JARED RAMIREZ,JARED RAMIREZ,LOS ANGELES,2025,0,0,create new politician,
1480051,GRUENENFELDER SMITH FOR LACCD BOARD OF TRUSTEES 2026; ALEX,GRUENENFELDER SMITH FOR LACCD BOARD OF TRUSTEES 2026; ALEX,LOS ANGELES,2025,0,0,create new politician (name needs research),
1473866,"ERICKSON AND HANG AND AGAINST NICKLE, BLOCK, AND COCKERAM FOR CITY COUNCIL 2024, SPONSORED BY UNITE HERE LOCAL 11; RENTERS AND WORKERS FOR WEST HOLLYWOOD IN SUPPORT OF","ERICKSON AND HANG AND AGAINST NICKLE, BLOCK, AND COCKERAM FOR CITY COUNCIL 2024, SPONSORED BY UNITE HERE LOCAL 11; RENTERS AND WORKERS FOR WEST HOLLYWOOD IN SUPPORT OF",LOS ANGELES,2024,0,0,create new politician (name needs research),
1481502,"CITIZENS IN SUPPORT OF THE LA OLYMPIC WAGE, SPONSORED BY LABOR AND CHARITABLE ORGANIZATIONS SUPPORTING WORKING FAMILIES","CITIZENS IN SUPPORT OF THE LA OLYMPIC WAGE, SPONSORED BY LABOR AND CHARITABLE ORGANIZATIONS SUPPORTING WORKING FAMILIES",LOS ANGELES,2025,0,0,create new politician (name needs research),
1471835,"LAWSON-REMER FOR SUPERVISOR 2024, SPONSORED BY EQUALITY CALIFORNIA AND LGBTQ+ VICTORY FUND; COMMUNITIES UNITED FOR TERRA","LAWSON-REMER FOR SUPERVISOR 2024, SPONSORED BY EQUALITY CALIFORNIA AND LGBTQ+ VICTORY FUND; COMMUNITIES UNITED FOR TERRA",LOS ANGELES,2024,0,0,create new politician (name needs research),
1485601,"CALIFORNIANS FOR HOMES, JOBS AND AFFORDABILITY 2026, SPONSORED BY AFFORDABLE HOUSING ORGANIZATIONS","CALIFORNIANS FOR HOMES, JOBS AND AFFORDABILITY 2026, SPONSORED BY AFFORDABLE HOUSING ORGANIZATIONS",LOS ANGELES,2025,0,0,create new politician (name needs research),
1485270,JOSEPH LUCEY,JOSEPH LUCEY,LOS ANGELES,2025,0,0,create new politician,
1485749,CARY DAVIDSON,CARY DAVIDSON,LOS ANGELES,2025,0,0,create new politician,
1485731,CONSUMER WATCHDOG CAMPAIGN (NONPROFIT 501(C)(4)),CONSUMER WATCHDOG CAMPAIGN (NONPROFIT 501(C)(4)),LOS ANGELES,2025,0,0,create new politician (name needs research),
1485814,CASTELLI FOR MAYOR 2026; ERNESTO,CASTELLI FOR MAYOR 2026; ERNESTO,LOS ANGELES,2025,0,0,create new politician (name needs research),
1485273,"CULVER LEGAL, LLP","CULVER LEGAL, LLP",LOS ANGELES,2025,0,0,create new politician (name needs research),
1484300,CORD THOMAS,CORD THOMAS,LOS ANGELES,2025,0,0,create new politician,
1482866,HERNANDEZ FOR CALIFORNIA ASSEMBLY 2026; COLIN,HERNANDEZ FOR CALIFORNIA ASSEMBLY 2026; COLIN,LOS ANGELES,2025,0,0,create new politician (name needs research),
1486753,VITALITY INSTITUTE,VITALITY INSTITUTE,LOS ANGELES,2026,0,0,create new politician (name needs research),
1485846,GARY MICHELSON,GARY MICHELSON,LOS ANGELES,2025,0,0,create new politician,
1481991,HA FOR CITY COUNCIL 2026; EDDIE,HA FOR CITY COUNCIL 2026; EDDIE,LOS ANGELES,2025,0,0,create new politician (name needs research),
1482865,COLIN HERNANDEZ,COLIN HERNANDEZ,LOS ANGELES,2025,0,0,create new politician,
1486119,JONATHAN BURKET,JONATHAN BURKET,LOS ANGELES,2026,0,0,create new politician,
