politician_name,office_title,committee_name,external_id,decision,reason
"Alexander Choi","Indiana Elected Official","Friends of Alex Choi","7510","confirm","lastName ""Choi"" in committee name with signal word"
"Amy Rainey","Indiana Elected Official","Rainey4Rep49","7599","ambiguous","lastName ""Rainey"" in committee name but no signal word found"
"Andy Zay","Chairman","Friends of Andy Zay","6683","confirm","lastName ""Zay"" in committee name with signal word"
"Ann Vermilion","Indiana Elected Official","Friends of Ann Vermilion","7278","confirm","lastName ""Vermilion"" in committee name with signal word"
"Anthony Isa","Indiana Elected Official","Friends of Tony Isa","7834","confirm","lastName ""Isa"" in committee name with signal word"
"Ben Ruiz","Indiana Elected Official","Ruiz4Indiana","7992","ambiguous","lastName ""Ruiz"" in committee name but no signal word found"
"Blythe Potter","Indiana Elected Official","Friends of Blythe Potter","8048","confirm","lastName ""Potter"" in committee name with signal word"
"Brian Savilla","Indiana Elected Official","Friends of Brian Savilla","7800","confirm","lastName ""Savilla"" in committee name with signal word"
"Brittany Carroll","Indiana Elected Official","Friends of Brittany Carroll","7564","confirm","lastName ""Carroll"" in committee name with signal word"
"Bryan Mu�oz","Indiana Elected Official","Friends of Bryan Mu�oz","7662","confirm","lastName ""Mu�oz"" in committee name with signal word"
"Bryan Washburn","Indiana Elected Official","Friends of Bryan Washburn","7572","confirm","lastName ""Washburn"" in committee name with signal word"
"Charles Goodrich","Indiana Elected Official","Friends of Chuck Goodrich","7050","confirm","lastName ""Goodrich"" in committee name with signal word"
"Cheryl Batteiger-smith","Indiana Elected Official","FRIENDS OF CHERYL BATTEIGER-SMITH","7743","confirm","lastName ""Batteiger-smith"" in committee name with signal word"
"Cheryl Musgrave","Indiana Elected Official","Friends of Musgrave","5904","confirm","lastName ""Musgrave"" in committee name with signal word"
"Christopher Garten","Indiana Elected Official","Friends of Chris Garten","6972","confirm","lastName ""Garten"" in committee name with signal word"
"Cindi Clayton","Indiana Elected Official","Friends of Cindi Clayton","8056","confirm","lastName ""Clayton"" in committee name with signal word"
"Cindy Hajicek","Indiana Elected Official","Friends of Cindi Hajicek","7821","confirm","lastName ""Hajicek"" in committee name with signal word"
"Clyde Allen Perfect","Indiana Elected Official","Vote Chip Perfect","6548","confirm","lastName ""Perfect"" in committee name with signal word"
"Connie Lawson","Indiana Elected Official","Friends of Connie Lawson","4026","confirm","lastName ""Lawson"" in committee name with signal word"
"Craig Snow","State Representative","Snow Indiana State Representative","7342","confirm","lastName ""Snow"" in committee name with signal word"
"Curtis Hammitt","Indiana Elected Official","Friends of Curt Hammitt","7952","confirm","lastName ""Hammitt"" in committee name with signal word"
"Dale Basham","Indiana Elected Official","Basham34","7334","ambiguous","lastName ""Basham"" in committee name but no signal word found"
"Daniel Elliott","Treasurer","Friends of Daniel Elliott","7511","confirm","lastName ""Elliott"" in committee name with signal word"
"David Hall","Indiana Elected Official","FRIENDS OF DAVE HALL","7559","confirm","lastName ""Hall"" in committee name with signal word"
"Davyd Jones","Indiana Elected Official","Friends of Davyd Jones","7656","confirm","lastName ""Jones"" in committee name with signal word"
"Donald Lehe","Indiana Elected Official","Friends of Don Lehe","4501","confirm","lastName ""Lehe"" in committee name with signal word"
"Douglas Gutwein","Indiana Elected Official","Friends of Douglas Gutwein","5692","confirm","lastName ""Gutwein"" in committee name with signal word"
"Eddie Melton","Indiana Elected Official","Friends of Eddie Melton","6764","confirm","lastName ""Melton"" in committee name with signal word"
"Edward Brickley","Indiana Elected Official","Friends of Ed Brickley","8080","confirm","lastName ""Brickley"" in committee name with signal word"
"Edward Comstock","Indiana Elected Official","Friends of Edward Comstock","7322","confirm","lastName ""Comstock"" in committee name with signal word"
"Elizabeth Brown","Indiana Elected Official","Friends of Liz Brown","6529","confirm","lastName ""Brown"" in committee name with signal word"
"Elizabeth Williams","Indiana Elected Official","Friends of Elizabeth Williams","7875","confirm","lastName ""Williams"" in committee name with signal word"
"Erin Houchin","U.S. House of Representatives - Indiana 9th Congressional District","Friends of Erin Houchin","6586","confirm","lastName ""Houchin"" in committee name with signal word"
"Ethan Sweetland-may","Indiana Elected Official","Friends of Ethan Sweetland-May","8062","confirm","lastName ""Sweetland-may"" in committee name with signal word"
"Fred Glynn","Indiana Elected Official","Friends of Glynn","7650","confirm","lastName ""Glynn"" in committee name with signal word"
"Gabrianna Gratzol","Indiana Elected Official","Friends of Gabrianna Gratzol","8069","confirm","lastName ""Gratzol"" in committee name with signal word"
"Gayla Taylor","Indiana Elected Official","Friends of Gayla Taylor","7620","confirm","lastName ""Taylor"" in committee name with signal word"
"Greg Peete","Indiana Elected Official","Friends of Greg Peete","7442","confirm","lastName ""Peete"" in committee name with signal word"
"Hunter Collins","Indiana Elected Official","Friends of Hunter Collins","8040","confirm","lastName ""Collins"" in committee name with signal word"
"Ian Gamroth","Indiana Elected Official","Friends of Ian Gamroth","7329","confirm","lastName ""Gamroth"" in committee name with signal word"
"Jack Jordan","Indiana Elected Official","Friends of Jack Jordan","6715","confirm","lastName ""Jordan"" in committee name with signal word"
"Jada Burton","Indiana Elected Official","Friends of Jada Burton","7695","confirm","lastName ""Burton"" in committee name with signal word"
"James Baker","Indiana Elected Official","Friends of Jim Baker","7873","confirm","lastName ""Baker"" in committee name with signal word"
"James Lucas","Indiana Elected Official","Friends of Jim Lucas","5914","confirm","lastName ""Lucas"" in committee name with signal word"
"James Pressel","Indiana Elected Official","Friends of Jim Pressel","6752","confirm","lastName ""Pressel"" in committee name with signal word"
"Jaxon Chance","Indiana Elected Official","Friends of Jack Chance","8050","confirm","lastName ""Chance"" in committee name with signal word"
"Jeffrey Ellington","Indiana Elected Official","Friends of Jeff Ellington","6767","confirm","lastName ""Ellington"" in committee name with signal word"
"Jessica Mcclellan","Indiana Elected Official","Friends of Jessica McClellan","7719","confirm","lastName ""Mcclellan"" in committee name with signal word"
"Jessica Renslow","Indiana Elected Official","Friends of Jessica Renslow","7024","confirm","lastName ""Renslow"" in committee name with signal word"
"Jocelyn Vare","Indiana Elected Official","FRIENDS OF JOCELYN VARE","7569","confirm","lastName ""Vare"" in committee name with signal word"
"Joel Florek","Indiana Elected Official","Friends of Joel Florek","7972","confirm","lastName ""Florek"" in committee name with signal word"
"John Fernandez","Mayor","Friends of Mayor Fernandez","4669","confirm","lastName ""Fernandez"" in committee name with signal word"
"John Gaylor","Indiana Elected Official","Friends 4 JR Gaylor","7357","confirm","lastName ""Gaylor"" in committee name with signal word"
"John Hurley","Indiana Elected Official","Hoosiers 4 Hurley","7000","confirm","lastName ""Hurley"" in committee name with signal word"
"John Moton","Indiana Elected Official","Friends of John Moton","7613","confirm","lastName ""Moton"" in committee name with signal word"
"John Schmitz","Indiana Elected Official","SchmitzHouse97","7399","confirm","lastName ""Schmitz"" in committee name with signal word"
"John Stoffel","Indiana Elected Official","Friends of John Stoffel","7325","confirm","lastName ""Stoffel"" in committee name with signal word"
"John Westercamp","Indiana Elected Official","Friends of John Westercamp, LLC","7220","confirm","lastName ""Westercamp"" in committee name with signal word"
"Johnny Nugent","Indiana Elected Official","JOHNNY NUGENT VICTORY TEAM","668","confirm","lastName ""Nugent"" in committee name with signal word"
"Justin Busch","Indiana Elected Official","Friends of Justin Busch","7253","confirm","lastName ""Busch"" in committee name with signal word"
"Justin Oakley","Indiana Elected Official","Justin Oakley 2012","6230","ambiguous","lastName ""Oakley"" in committee name but no signal word found"
"Kenneth Lave","Indiana Elected Official","Sending Jasen Lave To The Indiana State House 2020","7227","confirm","lastName ""Lave"" in committee name with signal word"
"Kent Abernathy","Indiana Elected Official","Friends of Kent Abernathy","7588","confirm","lastName ""Abernathy"" in committee name with signal word"
"Kerry Thomson","City Mayor","","","ambiguous","no committee name in notes"
