politician_name,office_title,committee_name,committee_id,cmt_type,decision,reason
"Andrew E. Cooper","","Angelenos for Safe Transportation PAC Sponsored by L.A. Taxi Cooperative Inc. and South Bay Cooperative, Inc.","1340101","G","","lastName ""Cooper"" in committee name but cmt_type=""G"" (not C)"
"Derek Tran","Representative","Angelenos for Safe Transportation PAC Sponsored by L.A. Taxi Cooperative Inc. and South Bay Cooperative, Inc.","1340101","G","","lastName ""Tran"" in committee name but cmt_type=""G"" (not C)"
"Elaine Lu","","California Apartment Association Housing Solutions Committee","1405775","G","","lastName ""Lu"" in committee name but cmt_type=""G"" (not C)"
"Fiona Ma","Treasurer","Clean Water Clean Government to Support Marisa Alcaraz for City Council 2023","1459184","P","","lastName ""Ma"" in committee name but cmt_type=""P"" (not C)"
"Francis B. Bennett II","","Californians to Preserve and Protect Local Jobs and Essential Community Services, sponsored by Hawaiian Gardens Casino","1465492","G","","lastName ""II"" in committee name but cmt_type=""G"" (not C)"
"Francis De","Council Member","American Federation of Teachers Solidarity Committee","1413452","G","","lastName ""De"" in committee name but cmt_type=""G"" (not C)"
"Francis De","Council Member","The Mexican & Asian American Leadership PAC To Support De Leon for City Council 2024","1474094","P","","lastName ""De"" in committee name but cmt_type=""P"" (not C)"
"H. Clay Jacke II","","Californians to Preserve and Protect Local Jobs and Essential Community Services, sponsored by Hawaiian Gardens Casino","1465492","G","","lastName ""II"" in committee name but cmt_type=""G"" (not C)"
"John C. Lawson II","","Californians to Preserve and Protect Local Jobs and Essential Community Services, sponsored by Hawaiian Gardens Casino","1465492","G","","lastName ""II"" in committee name but cmt_type=""G"" (not C)"
"Jordan Dant","Council - District 1","Abundant Housing LA PAC","1442154","G","","lastName ""Dant"" in committee name but cmt_type=""G"" (not C)"
"Linda Journey","Marion County: Center Township Board - District 3","United Association of Journeymen & Apprentices of the Plumbing & Pipefitting Industry Local Union Number 345 Political Action Committee, a committee for Measure RR","890464","P","","lastName ""Journey"" in committee name but cmt_type=""P"" (not C)"
"Michelle Bright","Monroe County: Benton Township Trustee","CD 12 Residents for a Brighter Future in Support of Stella Maloyan for City Council 2019","1418672","P","","lastName ""Bright"" in committee name but cmt_type=""P"" (not C)"
"Sergio C. Tapia II","","Californians to Preserve and Protect Local Jobs and Essential Community Services, sponsored by Hawaiian Gardens Casino","1465492","G","","lastName ""II"" in committee name but cmt_type=""G"" (not C)"
"Tim Tran","Board Member","Angelenos for Safe Transportation PAC Sponsored by L.A. Taxi Cooperative Inc. and South Bay Cooperative, Inc.","1340101","G","","lastName ""Tran"" in committee name but cmt_type=""G"" (not C)"
