full_name,office,politician_id,filer_id,committee_name,source_row_id,outcome
Hilda L. Solis,Supervisor District 1,f1f3e6ca-5532-4f33-8ec2-64791b08f59b,1060659,"SOLIS FOR STATE SENATE, HILDA",9a655a51-ff3d-48e7-9996-ea572cc4ffb7,already_confirmed
Hilda L. Solis,Supervisor District 1,f1f3e6ca-5532-4f33-8ec2-64791b08f59b,1071225,"SOLIS OFFICEHOLDER ACCOUNT, SENATOR HILDA",9fd8d424-39c8-43c9-9b3d-cbbf57309b33,already_confirmed
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1304553,"MITCHELL, COMMITTEE TO ELECT HOLLY",61f3acdf-0b59-4c9f-be4f-a46bb1cc2d40,inserted
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1314638,"MITCHELL FOR ASSEMBLY 2010, HOLLY J.",317f1a37-a5e0-4e7e-ac34-65d9ee78e4ac,inserted
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1333909,"MITCHELL FOR ASSEMBLY 2012, HOLLY J.",ef39d0c9-7cc0-47a2-80e8-16bb2156159d,inserted
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1355252,"MITCHELL FOR ASSEMBLY 2014, HOLLY",b56532ec-c180-442c-9274-440acc45972e,inserted
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1358812,"MITCHELL FOR SENATE 2013, HOLLY J.",562048e9-2b21-4594-8fb1-10156519cd63,inserted
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1361039,"MITCHELL FOR SENATE 2014, HOLLY J.",5e6744e1-ceb4-4866-b80a-785794ee0ef8,inserted
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1373775,MITCHELL FOR SENATE 2018; HOLLY J.,5ad98135-09c5-4734-bed7-2e32adab677a,inserted
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1414025,MITCHELL OFFICEHOLDER ACCOUNT 2018; SENATOR HOLLY J,50760a9a-790d-403e-a4cb-5a3e2b711fb5,inserted
