| Royce White | Republican | Candidate for U.S. Senate — Minnesota | 16 | 14 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, misinformation, religious-freedom, same-sex-marriage, school-vouchers, trans-athletes, ukraine-support, voting-rights |
| Andy Kim | Democrat | Senator | 23 | 20 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, judicial-criminal-justice, judicial-interpretation, medicare/aid, redistricting, religious-freedom, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| José Cisneros | Unknown | Treasurer | 15 | 13 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, economic-development, fossil-fuels, homelessness, homelessness-response, housing, immigration, jail-capacity, judicial-criminal-justice, taxes |
| Stan Ellis | Republican | Assembly Member | 21 | 18 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, data-centers, deportation, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, religious-freedom, social-security, tariffs, taxes, trans-athletes, voting-rights |
| Thomas Umberg | Democrat | Senator | 21 | 18 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, tariffs, taxes, trans-athletes, voting-rights |
| Diane Papan | Democrat | Assembly Member | 20 | 17 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, data-centers, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, trans-athletes, voting-rights |
| Gilbert Cisneros | Unknown | null | 19 | 16 | likely-correct | campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, religious-freedom, social-security, tariffs, taxes, trans-athletes, ukraine-support, voting-rights |
| Jay Obernolte | Republican | Representative | 29 | 24 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, data-centers, deportation, economic-development, fossil-fuels, healthcare, homelessness, homelessness-response, housing, immigration, medicare/aid, misinformation, public-safety-approach, religious-freedom, school-vouchers, tariffs, taxes, trans-athletes, transportation-priorities, voting-rights |
| Marissa Roy | Unknown | null | 24 | 20 | likely-correct | abortion, civil-rights, climate-change, deportation, economic-development, fossil-fuels, growth-and-development, homelessness, homelessness-response, housing, immigration, jail-capacity, judicial-criminal-justice, judicial-police-accountability, judicial-prosecution-priorities, local-environment, public-safety-approach, religious-freedom, rent-regulation, residential-zoning |
| Mayes Middleton | Republican | Senator | 23 | 19 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, religious-freedom, same-sex-marriage, school-vouchers, social-security, taxes, ukraine-support |
| Tasha Boerner | Democrat | Assembly Member | 23 | 19 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, data-centers, deportation, fossil-fuels, healthcare, homelessness, immigration, jail-capacity, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, voting-rights |
| Christopher M. Ward | Democrat | Assembly Member | 23 | 19 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, homelessness-response, housing, immigration, jail-capacity, medicare/aid, misinformation, redistricting, social-security, tariffs, trans-athletes, voting-rights |
| Sherrod Brown | Democratic | Candidate for U.S. Senate — Ohio | 18 | 15 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, redistricting, social-security, taxes, ukraine-support, voting-rights |
| Sal N. DiDomenico | Democrat | Senator, Middlesex and Suffolk District | 18 | 15 | likely-correct | childcare, civil-rights, deportation, healthcare, homelessness, housing, immigration, jail-capacity, judicial-access-to-justice, judicial-criminal-justice, judicial-police-accountability, judicial-prosecution-priorities, judicial-transparency, taxes, voting-rights |
